state,raw_county_data_2015,violent_crime_2015,murder_and_nonnegligent_manslaughter_2015,rape_2015,robbery_2015,aggravated_assault_2015,property_crime_2015,burglary_2015,larceny_theft_2015,motor_vehicle_theft_2015,arson_2015,state/county_type_2015,notice_num_1_2015,notice_num_2_2015,notice_1_2015,notice_2_2015,county,area,loc_abbrev_x,raw_county_data_2016,violent_crime_2016,murder_and_nonnegligent_manslaughter_2016,rape_2016,robbery_2016,aggravated_assault_2016,property_crime_2016,burglary_2016,larceny_theft_2016,motor_vehicle_theft_2016,arson_2016,state/county_type_2016,notice_num_1_2016,notice_num_2_2016,notice_1_2016,notice_2_2016,loc_abbrev_y,raw_county_data_2017,violent_crime_2017,murder_and_nonnegligent_manslaughter_2017,rape_2017,robbery_2017,aggravated_assault_2017,property_crime_2017,burglary_2017,larceny_theft_2017,motor_vehicle_theft_2017,arson_2017,state/county_type_2017,notice_num_1_2017,notice_num_2_2017,notice_1_2017,notice_2_2017,loc_abbrev,raw_county_data,popestimate2010,popestimate2011,popestimate2012,popestimate2013,popestimate2014,popestimate2015,popestimate2016,popestimate2017,fmr0_2015,fmr1_2015,fmr2_2015,fmr3_2015,fmr4_2015,fmr0_2016,fmr1_2016,fmr2_2016,fmr3_2016,fmr4_2016,fmr0_2017,fmr1_2017,fmr2_2017,fmr3_2017,fmr4_2017,avg_fmr_2017,avg_fmr_2016,avg_fmr_2015,avg_fmr_est,income_2015,income_2016,income_2017,employed_2007,unemployed_2007,employed_2008,unemployed_2008,employed_2009,unemployed_2009,employed_2010,unemployed_2010,employed_2011,unemployed_2011,employed_2012,unemployed_2012,employed_2013,unemployed_2013,employed_2014,unemployed_2014,employed_2015,unemployed_2015,employed_2016,unemployed_2016,employed_2017,unemployed_2017,geographical_area_(sq_mi),housing_density_(per_sq_mi),crime_severity_2015,crime_severity_2016,crime_severity_2017,crime_severity,population_density_est_2015,population_density_est_2016,population_density_est_2017,population_density_est,crime_severity_by_pop_density,total_county_geographical_area_by_state_(sq_mi),state_population_density_est_2015,state_population_density_est_2016,state_population_density_est_2017,state_population_density_est,state_crime_severity_2015,state_crime_severity_2016,state_crime_severity_2017,state_crime_severity,state_crime_severity_by_pop_density,avg_unemployement_rate,avg_income,employment_pct
Alabama,Autauga,69.0,0.0,13.0,6.0,50.0,344.0,111.0,187.0,46.0,,ALABAMA - Metropolitan Counties,,,,,Autauga,"Autauga, Alabama","A, Alabama",Autauga,73.0,1.0,12.0,8.0,52.0,429.0,146.0,233.0,50.0,,ALABAMA - Metropolitan Counties,,,,,"A, Alabama",Autauga,55.0,2.0,5.0,5.0,43.0,384.0,131.0,206.0,47.0,,ALABAMA - Metropolitan Counties,,,,,"A, Alabama",Autauga,54750.0,55199.0,54927.0,54695.0,54864.0,54838.0,55278.0,55504.0,628.0,663.0,788.0,1084.0,1288.0,565.0,647.0,788.0,1029.0,1336.0,565.0,647.0,788.0,1029.0,1336.0,950.0,950.0,955.75,951.9166666666665,38591.0,39509.0,40484.0,23577.0,806.0,23420.0,1267.0,22301.0,2402.0,23431.0,2282.0,23677.0,2159.0,23961.0,1779.0,24205.0,1605.0,24107.0,1495.0,24272.0,1330.0,24593.0,1325.0,24908.0,1001.0,604.39,37.2,3060.73,3563.76,2989.7299999999996,3204.74,90.73280497691889,91.46081172752693,91.83474246761197,91.34278639068593,35.08476286559594,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,39528.0,0.9527643128068402
Alabama,Baldwin,115.0,0.0,9.0,33.0,73.0,648.0,225.0,390.0,33.0,,ALABAMA - Metropolitan Counties,,,,,Baldwin,"Baldwin, Alabama","B, Alabama",Baldwin,127.0,1.0,5.0,23.0,98.0,613.0,229.0,342.0,42.0,,ALABAMA - Metropolitan Counties,,,,,"B, Alabama",Baldwin,163.0,1.0,9.0,18.0,135.0,737.0,226.0,442.0,69.0,,ALABAMA - Metropolitan Counties,,,,,"B, Alabama",Baldwin,183110.0,186534.0,190048.0,194736.0,199064.0,202863.0,207509.0,212628.0,494.0,643.0,762.0,1123.0,1318.0,719.0,754.0,873.0,1272.0,1472.0,719.0,754.0,873.0,1272.0,1472.0,1092.75,1092.75,961.5,1049.0,41412.0,43004.0,44079.0,80099.0,2560.0,79372.0,3851.0,74403.0,8048.0,75120.0,8339.0,77418.0,7627.0,78065.0,6349.0,79626.0,5654.0,81115.0,5300.0,82843.0,4862.0,85656.0,4844.0,87915.0,3652.0,2027.31,65.5,5319.85,5424.84,6748.74,5831.143333333333,100.06511091051689,102.35681765492204,104.88183849534606,102.43458902026167,56.92553061524879,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,42831.666666666664,0.9503853126620735
Alabama,Bibb,7.0,0.0,2.0,1.0,4.0,41.0,20.0,18.0,3.0,,ALABAMA - Metropolitan Counties,,,,,Bibb,"Bibb, Alabama","B, Alabama",Bibb,0.0,0.0,0.0,0.0,0.0,37.0,20.0,14.0,3.0,,ALABAMA - Metropolitan Counties,,,,,"B, Alabama",Bibb,3.0,0.0,1.0,1.0,1.0,69.0,41.0,24.0,4.0,,ALABAMA - Metropolitan Counties,,,,,"B, Alabama",Bibb,22872.0,22745.0,22658.0,22503.0,22533.0,22561.0,22633.0,22668.0,545.0,652.0,773.0,1015.0,1142.0,613.0,726.0,840.0,1134.0,1250.0,613.0,726.0,840.0,1134.0,1250.0,987.5,987.5,895.5,956.8333333333335,29048.0,28989.0,30022.0,8432.0,359.0,8241.0,508.0,7581.0,1161.0,7914.0,1020.0,7996.0,937.0,8047.0,751.0,8016.0,689.0,7945.0,617.0,8005.0,567.0,8050.0,557.0,8133.0,373.0,626.17,14.4,345.03,181.96,401.40999999999997,309.46666666666664,36.03015155628663,36.145136304837344,36.20103166871617,36.12543984328005,8.566447024844535,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,29353.0,0.9417627478811608
Alabama,Blount,204.0,5.0,16.0,5.0,178.0,832.0,247.0,503.0,82.0,,ALABAMA - Metropolitan Counties,,,,,Blount,"Blount, Alabama","B, Alabama",Blount,394.0,1.0,17.0,9.0,367.0,867.0,261.0,501.0,105.0,,ALABAMA - Metropolitan Counties,,,,,"B, Alabama",Blount,313.0,1.0,14.0,5.0,293.0,812.0,198.0,502.0,112.0,,ALABAMA - Metropolitan Counties,,,,,"B, Alabama",Blount,57381.0,57562.0,57595.0,57623.0,57546.0,57590.0,57562.0,58013.0,545.0,652.0,773.0,1015.0,1142.0,613.0,726.0,840.0,1134.0,1250.0,613.0,726.0,840.0,1134.0,1250.0,987.5,987.5,895.5,956.8333333333335,31987.0,32261.0,33707.0,25780.0,849.0,25453.0,1245.0,23832.0,2648.0,22460.0,2446.0,22939.0,2184.0,23244.0,1716.0,23325.0,1562.0,23032.0,1503.0,23152.0,1321.0,23248.0,1328.0,23509.0,985.0,650.63,37.0,8179.6,11949.81,10085.619999999999,10071.676666666666,88.51420930482763,88.47117409280236,89.16434840078078,88.71657726613692,113.52643414604567,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,32651.666666666668,0.9505905861934528
Alabama,Calhoun,16.0,0.0,4.0,1.0,11.0,413.0,181.0,225.0,7.0,,ALABAMA - Metropolitan Counties,,,,,Calhoun,"Calhoun, Alabama","C, Alabama",Calhoun,23.0,0.0,7.0,5.0,11.0,319.0,137.0,181.0,1.0,,ALABAMA - Metropolitan Counties,,,,,"C, Alabama",Calhoun,18.0,0.0,7.0,7.0,4.0,211.0,93.0,117.0,1.0,,ALABAMA - Metropolitan Counties,,,,,"C, Alabama",Calhoun,118466.0,117785.0,117219.0,116482.0,115941.0,115505.0,114980.0,114728.0,491.0,513.0,675.0,872.0,908.0,445.0,476.0,637.0,810.0,896.0,445.0,476.0,637.0,810.0,896.0,704.75,704.75,742.0,717.1666666666665,34188.0,34869.0,36255.0,52709.0,2152.0,51468.0,3096.0,47929.0,5996.0,45699.0,5860.0,45963.0,5305.0,45252.0,4397.0,44163.0,4242.0,43484.0,3773.0,42679.0,3231.0,42815.0,3003.0,43333.0,2249.0,612.29,88.0,2344.9500000000003,2025.1999999999998,1395.78,1921.9766666666665,188.64426987211942,187.78683303663297,187.3752633555995,187.93545542145065,10.226791226576053,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,35104.0,0.9382471991360513
Alabama,Chilton,120.0,0.0,23.0,1.0,96.0,575.0,263.0,274.0,38.0,,ALABAMA - Metropolitan Counties,,,,,Chilton,"Chilton, Alabama","C, Alabama",Chilton,151.0,0.0,10.0,3.0,138.0,592.0,247.0,295.0,50.0,,ALABAMA - Metropolitan Counties,,,,,"C, Alabama",Chilton,168.0,2.0,15.0,7.0,144.0,715.0,268.0,368.0,79.0,,ALABAMA - Metropolitan Counties,,,,,"C, Alabama",Chilton,43661.0,43688.0,43601.0,43645.0,43779.0,43706.0,43830.0,44067.0,423.0,475.0,599.0,802.0,1061.0,430.0,487.0,569.0,829.0,993.0,430.0,487.0,569.0,829.0,993.0,719.5,719.5,734.25,724.4166666666665,31830.0,32268.0,33350.0,19067.0,670.0,18618.0,992.0,17375.0,2070.0,17464.0,1998.0,17753.0,1786.0,17982.0,1401.0,18090.0,1269.0,17906.0,1196.0,18054.0,1079.0,18128.0,1055.0,18344.0,774.0,700.8,27.8,5272.19,5871.129999999999,6852.280000000001,5998.533333333333,62.36586757990868,62.542808219178085,62.88099315068494,62.59655631659057,95.82848780043005,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,32482.666666666668,0.9493744237614385
Alabama,Elmore,93.0,5.0,17.0,5.0,66.0,1141.0,495.0,574.0,72.0,,ALABAMA - Metropolitan Counties,,,,,Elmore,"Elmore, Alabama","E, Alabama",Elmore,88.0,4.0,22.0,7.0,55.0,677.0,223.0,408.0,46.0,,ALABAMA - Metropolitan Counties,,,,,"E, Alabama",Elmore,60.0,1.0,13.0,9.0,37.0,757.0,228.0,467.0,62.0,,ALABAMA - Metropolitan Counties,,,,,"E, Alabama",Elmore,79581.0,80006.0,80220.0,80555.0,80562.0,80912.0,81240.0,81677.0,628.0,663.0,788.0,1084.0,1288.0,565.0,647.0,788.0,1029.0,1336.0,565.0,647.0,788.0,1029.0,1336.0,950.0,950.0,955.75,951.9166666666665,38445.0,39575.0,40601.0,34620.0,1185.0,34371.0,1849.0,32944.0,3448.0,33362.0,3321.0,33521.0,3076.0,34087.0,2542.0,34658.0,2272.0,34469.0,2088.0,34897.0,1846.0,35446.0,1775.0,35880.0,1356.0,657.04,52.8,7572.24,5183.04,4889.2,5881.493333333333,123.14623158407403,123.6454401558505,124.31054425910143,123.70073866634199,47.54614561516472,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,39540.333333333336,0.9552182111660513
Alabama,Etowah,113.0,1.0,23.0,2.0,87.0,561.0,214.0,298.0,49.0,,ALABAMA - Metropolitan Counties,,,,,Etowah,"Etowah, Alabama","E, Alabama",Etowah,135.0,1.0,20.0,7.0,107.0,480.0,149.0,255.0,76.0,,ALABAMA - Metropolitan Counties,,,,,"E, Alabama",Etowah,104.0,2.0,13.0,3.0,86.0,526.0,186.0,276.0,64.0,,ALABAMA - Metropolitan Counties,,,,,"E, Alabama",Etowah,104457.0,104354.0,104257.0,103865.0,103374.0,102942.0,102726.0,102755.0,370.0,478.0,622.0,775.0,874.0,401.0,493.0,636.0,789.0,915.0,401.0,493.0,636.0,789.0,915.0,708.25,708.25,687.25,701.25,34129.0,34783.0,36069.0,43431.0,2028.0,42995.0,2732.0,39838.0,5155.0,39193.0,4807.0,40238.0,4484.0,40589.0,3643.0,40538.0,3324.0,40655.0,3080.0,40045.0,2639.0,40701.0,2560.0,40932.0,1962.0,548.63,88.7,5071.84,5061.68,4685.82,4939.78,187.6346535916738,187.24094562820116,187.29380456774146,187.38980126253878,26.360986386229303,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,34993.666666666664,0.9444190634953022
Alabama,Geneva,41.0,0.0,9.0,0.0,32.0,229.0,91.0,113.0,25.0,,ALABAMA - Metropolitan Counties,,,,,Geneva,"Geneva, Alabama","G, Alabama",Geneva,46.0,1.0,9.0,2.0,34.0,205.0,71.0,106.0,28.0,,ALABAMA - Metropolitan Counties,,,,,"G, Alabama",Geneva,58.0,0.0,7.0,3.0,48.0,227.0,73.0,124.0,30.0,,ALABAMA - Metropolitan Counties,,,,,"G, Alabama",Geneva,26783.0,26760.0,26928.0,26684.0,26598.0,26639.0,26516.0,26421.0,461.0,493.0,635.0,847.0,1047.0,491.0,501.0,647.0,869.0,1019.0,491.0,501.0,647.0,869.0,1019.0,759.0,759.0,755.5,757.8333333333335,32232.0,32627.0,33958.0,11137.0,398.0,10717.0,620.0,9970.0,1203.0,10362.0,1197.0,10429.0,1057.0,10421.0,853.0,10276.0,768.0,10075.0,721.0,10147.0,638.0,10178.0,626.0,10355.0,462.0,578.95,22.1,1962.9100000000003,1956.69,2256.85,2058.816666666667,46.0126090335953,45.80015545383884,45.636065290612315,45.81627659268215,44.93635929802957,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,32939.0,0.9467305710431942
Alabama,Henry,36.0,0.0,8.0,3.0,25.0,162.0,78.0,64.0,20.0,,ALABAMA - Metropolitan Counties,,,,,Henry,"Henry, Alabama","H, Alabama",Henry,13.0,0.0,1.0,1.0,11.0,86.0,34.0,44.0,8.0,,ALABAMA - Metropolitan Counties,,,,,"H, Alabama",Henry,14.0,0.0,2.0,0.0,12.0,48.0,17.0,26.0,5.0,,ALABAMA - Metropolitan Counties,,,,,"H, Alabama",Henry,17297.0,17376.0,17157.0,17130.0,17080.0,17102.0,17092.0,17147.0,435.0,465.0,599.0,883.0,987.0,451.0,461.0,580.0,751.0,1013.0,451.0,461.0,580.0,751.0,1013.0,701.25,701.25,733.5,712.0,36146.0,37632.0,39459.0,7135.0,405.0,6807.0,569.0,6334.0,798.0,6469.0,790.0,6563.0,707.0,6447.0,583.0,6421.0,533.0,6270.0,508.0,6259.0,456.0,6282.0,439.0,6371.0,326.0,568.31,15.8,1529.33,673.74,516.59,906.5533333333333,30.092731079868386,30.07513504953283,30.17191321637839,30.113259781926534,30.10478904968738,49716.679999999986,96.07077544196437,96.27374555179472,96.56779173508772,96.30410424294894,228662.77999999997,247350.86000000007,235419.71999999997,237144.45333333334,2462.4542764562007,,37745.666666666664,0.9393653855912917
